Entity,Code,Year,Quantity of oil spilled
World,OWID_WRL,1970,383000
World,OWID_WRL,1971,144000
World,OWID_WRL,1972,313000
World,OWID_WRL,1973,159000
World,OWID_WRL,1974,174000
World,OWID_WRL,1975,352000
World,OWID_WRL,1976,365000
World,OWID_WRL,1977,276000
World,OWID_WRL,1978,393000
World,OWID_WRL,1979,636000
World,OWID_WRL,1980,206000
World,OWID_WRL,1981,48000
World,OWID_WRL,1982,12000
World,OWID_WRL,1983,384000
World,OWID_WRL,1984,29000
World,OWID_WRL,1985,85000
World,OWID_WRL,1986,19000
World,OWID_WRL,1987,38000
World,OWID_WRL,1988,190000
World,OWID_WRL,1989,164000
World,OWID_WRL,1990,61000
World,OWID_WRL,1991,431000
World,OWID_WRL,1992,167000
World,OWID_WRL,1993,140000
World,OWID_WRL,1994,130000
World,OWID_WRL,1995,12000
World,OWID_WRL,1996,80000
World,OWID_WRL,1997,72000
World,OWID_WRL,1998,13000
World,OWID_WRL,1999,28000
World,OWID_WRL,2000,14000
World,OWID_WRL,2001,9000
World,OWID_WRL,2002,66000
World,OWID_WRL,2003,43000
World,OWID_WRL,2004,17000
World,OWID_WRL,2005,15000
World,OWID_WRL,2006,12000
World,OWID_WRL,2007,15000
World,OWID_WRL,2008,2000
World,OWID_WRL,2009,3000
World,OWID_WRL,2010,12000
World,OWID_WRL,2011,2000
World,OWID_WRL,2012,1000
World,OWID_WRL,2013,7000
World,OWID_WRL,2014,5000
World,OWID_WRL,2015,7000
World,OWID_WRL,2016,6000
World,OWID_WRL,2017,7000
World,OWID_WRL,2018,116000
World,OWID_WRL,2019,1000
World,OWID_WRL,2020,1000
World,OWID_WRL,2021,10000
World,OWID_WRL,2022,15000